page,row,col,status,ocr,red_ratio,stroke_ratio,bbox_x,bbox_y,bbox_w,bbox_h
0,1,0,Present,),0.0,0.3221,359,12,13,64
0,1,1,Present,=,0.0,0.2431,592,12,9,64
0,1,2,Absent,|,0.1094,0.2124,648,12,22,64
0,2,0,Absent,+,0.1333,0.2933,359,78,13,75
0,2,1,Present,=,0.0,0.1837,592,78,9,75
0,2,2,Absent,,0.0515,0.1976,648,78,22,75
0,3,0,Present,,0.0156,0.3007,359,155,13,143
0,3,1,Present,:,0.0008,0.202,592,155,9,143
0,3,2,Present,|,0.0086,0.1259,648,155,22,143
0,4,0,Present,ls,0.0,0.2744,359,300,13,67
0,4,1,Absent,=,0.3101,0.3416,592,300,9,67
0,4,2,Present,2,0.0,0.2659,648,300,22,67
0,5,0,Present,2,0.0,0.2613,359,369,13,68
0,5,1,Absent,=,0.1062,0.3072,592,369,9,68
0,5,2,Present,,0.0,0.1905,648,369,22,68
0,6,0,Present,_,0.0,0.2081,359,439,13,68
0,6,1,Absent,y,0.0605,0.3578,592,439,9,68
0,6,2,Unknown,},0.0,0.0027,648,439,22,68
0,7,0,Present,2,0.0,0.1695,359,509,13,69
0,7,1,Present,,0.0177,0.3269,592,509,9,69
0,7,2,Unknown,-,0.0,0.0,648,509,22,69
0,8,0,Present,=,0.0,0.1561,359,585,13,67
0,8,1,Present,f,0.0,0.3416,592,585,9,67
0,8,2,Unknown,-,0.0,0.0,648,585,22,67
0,9,0,Present,.,0.0,0.0115,359,657,13,67
0,9,1,Present,B,0.0,0.1741,592,657,9,67
0,9,2,Unknown,-,0.0,0.0,648,657,22,67
0,10,0,Present,S,0.0,0.3388,359,728,13,84
0,10,1,Present,a,0.0,0.1733,592,728,9,84
0,10,2,Unknown,-,0.0,0.0,648,728,22,84
0,11,0,Present,= |,0.0,0.3234,359,814,13,44
0,11,1,Present,—_,0.0,0.2096,592,814,9,44
0,11,2,Unknown,,0.0,0.0,648,814,22,44
0,12,0,Present,= |,0.0,0.3022,359,860,13,28
0,12,2,Unknown,_,0.0,0.0,648,860,22,28
